Restaurant,Chinese Reviews Rating,Chinese Reviews Count,All Reviews Rating,All Reviews Count,Link
China Delight,4.75,4,3.8,132,https://www.google.com/maps/place/?q=place_id:ChIJ7dblxsdawokRkYEhsK3I1WA
No 1,4.75,4,3.7,138,https://www.google.com/maps/place/?q=place_id:ChIJIW9vN0vzwokR-qpWNoVgDuo
Hillside Kitchen,4.75,4,4.4,351,https://www.google.com/maps/place/?q=place_id:ChIJSX6r7sxSwokRzxkbJ633UN0
Ming Feng Chinese Restaurant,4.75,4,4.1,199,https://www.google.com/maps/place/?q=place_id:ChIJ4wPjLXyzw4kRTnc36C5fY7s
Ming Wok,4.75,4,3.7,119,https://www.google.com/maps/place/?q=place_id:ChIJ0UwT_6NfwokRqI0b44E5vp8
New Star,4.75,4,3.7,118,https://www.google.com/maps/place/?q=place_id:ChIJ1Un3ODVewokRxu51WUWgPyw
Vegetarian palate,4.75,8,4.5,186,https://www.google.com/maps/place/?q=place_id:ChIJ35-URRJbwokRLkYrGy1FnWY
Koong Wing,4.75,8,4.2,102,https://www.google.com/maps/place/?q=place_id:ChIJaVc6oVJFwokRvq_28EvxQ5Y
Jing Fu House,4.75,8,4.2,231,https://www.google.com/maps/place/?q=place_id:ChIJNfih5rlfwokRJs96fUtO_Kg
Mr. Wonton,4.75,8,4.3,187,https://www.google.com/maps/place/?q=place_id:ChIJi33SbOddwokRqFBwLfR2XCs
New Panda,4.75,12,4.3,124,https://www.google.com/maps/place/?q=place_id:ChIJ2bX3gz1ewokR30NVASR11jE
Tack's Chinese Take Out,4.75,12,3.8,132,https://www.google.com/maps/place/?q=place_id:ChIJBfRr4pxOwokRCBscD9jgDGY
Sweet Bamboo Chinese Food | Elmhurst,4.75,12,4.6,141,https://www.google.com/maps/place/?q=place_id:ChIJFzSW4c9fwokRUN510xVlg0Q
Old Luo Yang,4.742038217,314,4.7,550,https://www.google.com/maps/place/?q=place_id:ChIJX8kyIgxhwokRf99VrKRPwvA
Jiang Nan Flushing,4.741363212,1071,4.7,2193,https://www.google.com/maps/place/?q=place_id:ChIJZSvB14NhwokRR7ROmZwHvUw
Chiko,4.740740741,27,4.8,265,https://www.google.com/maps/place/?q=place_id:ChIJq5JiVwlZwokRZI1Yf_Zi_zg
JiBeiChuan Rice Noodle & Ramen 季北川花胶鸡汤米粉 Bayside 呗赛,4.735714286,140,4.7,326,https://www.google.com/maps/place/?q=place_id:ChIJ1ULyVcFhwokRdimG0u181Ks
Chi Restaurant & Bar,4.733913043,575,4.7,2524,https://www.google.com/maps/place/?q=place_id:ChIJYYpwNA5ZwokRYImQw6JRNfI
Peng's Noodle Folk,4.733333333,60,4.7,718,https://www.google.com/maps/place/?q=place_id:ChIJp-V3XrpYwokRwqFX-9bZQF8
Vegan Ginger Root,4.727272727,11,4.7,402,https://www.google.com/maps/place/?q=place_id:ChIJ_auWHehYwokROYvjW5FSPOg
Mr. Wonton,4.727272727,11,4.1,349,https://www.google.com/maps/place/?q=place_id:ChIJH7zK0KlbwokRHWLKv6UFSv0
Peking Taste Chinese and Thai Restaurant,4.727272727,22,4,165,https://www.google.com/maps/place/?q=place_id:ChIJ07ISXXxMwokRTyPumjSYA-o
Noodlecraft,4.727272727,55,4.6,376,https://www.google.com/maps/place/?q=place_id:ChIJp4n-XqhZwokR6j0k33BRQHA
"Nan Xiang Express - Upper West Side, NY",4.722222222,36,4.6,165,https://www.google.com/maps/place/?q=place_id:ChIJ94yTZoD3wokRmoVuEibMjDs
King's Kitchen,4.721678322,715,4.6,1448,https://www.google.com/maps/place/?q=place_id:ChIJqdtPMQ9FwokRZFp_PTOW6E8
SIU KITCHEN (Hotpot),4.71641791,67,4.5,156,https://www.google.com/maps/place/?q=place_id:ChIJJ6K47-tJwokRKWJrdzP9Uoc
Annie's First Wok,4.714285714,7,4.3,133,https://www.google.com/maps/place/?q=place_id:ChIJK7jIZzNawokRPXi-cr2v-qY
New Lin's Kitchen,4.714285714,7,4.3,152,https://www.google.com/maps/place/?q=place_id:ChIJ91q22QVfwokRT-nqOOCzhZ4
China Palace Restaurant,4.714285714,7,3.9,185,https://www.google.com/maps/place/?q=place_id:ChIJm_cdhFqLwokRUwxuUg1hleI
CHELI FLUSHING,4.711246201,658,4.7,1508,https://www.google.com/maps/place/?q=place_id:ChIJYVvVYJ5hwokR-KpQ6FHfdG4
Nan Xiang Xiao Long Bao,4.710323575,649,4.7,2494,https://www.google.com/maps/place/?q=place_id:ChIJ5bXhW_pZwokRS1dCnTWL3WA
Dim Sum Bloom Manhattan 98st,4.709677419,31,4.4,213,https://www.google.com/maps/place/?q=place_id:ChIJA_lAtEX3wokRxOLSUI6Br-0
Forever Taste,4.709677419,31,4.4,190,https://www.google.com/maps/place/?q=place_id:ChIJXbqtaSlawokRbAFobgotC_k
Jin Mei Dumpling,4.709677419,93,4.7,951,https://www.google.com/maps/place/?q=place_id:ChIJb_SHcSZawokRtdpS_MICEis
The Pancake - 杨记鲜肉饼,4.708333333,24,4.8,127,https://www.google.com/maps/place/?q=place_id:ChIJDc_EciVhwokRri3dMy_tvHM
Grand Sichuan,4.708333333,48,4.4,428,https://www.google.com/maps/place/?q=place_id:ChIJPXYGCTBewokRzq6g-oWUrOM
Chef Tan,4.70625,160,4.6,440,https://www.google.com/maps/place/?q=place_id:ChIJIes9lZ1ZwokRxV3hRFFVCsY
Hunan Tapas,4.705263158,95,4.5,190,https://www.google.com/maps/place/?q=place_id:ChIJxx9fKABZwokRHf-Weduzrqc
Dim Sum Sam,4.703976436,679,4.5,2558,https://www.google.com/maps/place/?q=place_id:ChIJ4Tdm4l5ZwokRwxDIw60nbXE
Zhongzhong Noodles - Bronx,4.703703704,27,4.4,268,https://www.google.com/maps/place/?q=place_id:ChIJPd2_lDn1wokRftkdjmFPuwY
Lucky,4.7,10,4.1,148,https://www.google.com/maps/place/?q=place_id:ChIJA_wUqw9fwokRZ9jkOaZVymM
Xi'an Famous Foods 西安名吃 | Williamsburg,4.7,20,4.7,181,https://www.google.com/maps/place/?q=place_id:ChIJ78o6AfZZwokRO0jaaWrctPY
Liuyishou Hot Pot,4.7,710,4.6,1482,https://www.google.com/maps/place/?q=place_id:ChIJ62AfMHthwokRSGIcc5pKSDQ
Lao Chengdu Spicy Food,4.699669967,303,4.6,529,https://www.google.com/maps/place/?q=place_id:ChIJLVgCVQ5gwokRHdZEXktz5lI
Steam,4.698113208,53,4.6,486,https://www.google.com/maps/place/?q=place_id:ChIJJYRLYrtZwokRuRmuvnMPaYE
Ooodles Noodle House 寶島美食 Taiwanese Eats,4.696428571,56,4.6,188,https://www.google.com/maps/place/?q=place_id:ChIJr_Aqzm9hwokRsgXzIikOHDA
Jiang Nan LIC,4.693548387,186,4.5,437,https://www.google.com/maps/place/?q=place_id:ChIJD0wDQFpZwokRD1yp-BrV0IA
C & Y,4.692307692,13,4.3,210,https://www.google.com/maps/place/?q=place_id:ChIJX5TKxf1awokRpPiDPBhb7hw
Szechuan Kitchen,4.692307692,13,3.3,139,https://www.google.com/maps/place/?q=place_id:ChIJ8U5gySRiwokR9-LLWEvFvoo
草堂 Caotang New Sichuan Cuisine,4.692307692,26,4.4,193,https://www.google.com/maps/place/?q=place_id:ChIJ59w0Hb9YwokRatBABWUN8cg
Hunan Noodle,4.690807799,359,4.7,632,https://www.google.com/maps/place/?q=place_id:ChIJy_9PnVphwokRto0GMT_5mH8
Bell Garden,4.6875,48,4.4,283,https://www.google.com/maps/place/?q=place_id:ChIJVwe8rAqKwokRsqaMpYYvEwo
Xin La Gong Fu,4.684210526,76,4.5,210,https://www.google.com/maps/place/?q=place_id:ChIJ8YH6DUVhwokREosbNGI5RE8
YongChuan,4.677777778,180,4.7,383,https://www.google.com/maps/place/?q=place_id:ChIJvbUxn0lZwokRJVNddw78BtY
King’s Kitchen,4.675531915,188,4.6,388,https://www.google.com/maps/place/?q=place_id:ChIJGfoUDABbwokRNPPXDDdtwnc
Carol's Bun,4.673076923,52,4.7,226,https://www.google.com/maps/place/?q=place_id:ChIJbb-1BilawokRU_jdJ4pt7a8
TAI ER SICHUAN CUISINE 太二酸菜鱼 (FLUSHING),4.669144981,538,4.6,1063,https://www.google.com/maps/place/?q=place_id:ChIJA9JW6RthwokR97B8p0lD0fI
Jun Lung,4.666666667,3,4.4,190,https://www.google.com/maps/place/?q=place_id:ChIJBSPnqgVYwokRtf2KMZKVY3k
Empire Kitchen,4.666666667,3,4.3,210,https://www.google.com/maps/place/?q=place_id:ChIJ4bq6unxcwokRtz9vorClTfM
Weng's Garden,4.666666667,3,3.9,156,https://www.google.com/maps/place/?q=place_id:ChIJhTsP3WxcwokRvsEj5Aj1yC4
Lucky Chen,4.666666667,3,3.8,114,https://www.google.com/maps/place/?q=place_id:ChIJnc1ekg1cwokRFZWEj4-lB5I
Mr King Food Kitchen,4.666666667,3,3.9,173,https://www.google.com/maps/place/?q=place_id:ChIJiaTz0HxbwokRmTXM9nnzAj0
Wing Yum Lin's,4.666666667,3,4.2,134,https://www.google.com/maps/place/?q=place_id:ChIJFfGuDKtgwokRzdKqsI-_OFo
Chinese Gourmet Restaurant,4.666666667,3,4,212,https://www.google.com/maps/place/?q=place_id:ChIJRetXtRyzw4kRWG_xtgua1Dw
China Cafe,4.666666667,3,4.3,433,https://www.google.com/maps/place/?q=place_id:ChIJ9-oN_g-msYkRC24BBkb4I2I
Golden Star,4.666666667,3,4.2,373,https://www.google.com/maps/place/?q=place_id:ChIJRZz6gKD2wokRBVWTZSPSKdM
Wing Wah,4.666666667,6,4.1,121,https://www.google.com/maps/place/?q=place_id:ChIJpev2ohBewokRKKsmdOzARgQ
East Garden,4.666666667,6,4.2,125,https://www.google.com/maps/place/?q=place_id:ChIJWVe_LlhDwokR2W-2FBspF8k
Liu's Garden,4.666666667,6,4,118,https://www.google.com/maps/place/?q=place_id:ChIJ-W5N6XtiwokRzyw9i4PH8L0
Quality Chef,4.666666667,6,4.1,262,https://www.google.com/maps/place/?q=place_id:ChIJu26fYa70wokRiCscOiAk2X8
China New Star,4.666666667,9,4,320,https://www.google.com/maps/place/?q=place_id:ChIJj0n8ZslNwokRJrjuYjRp1YY
China Pagoda,4.666666667,9,3.7,252,https://www.google.com/maps/place/?q=place_id:ChIJJ709i1BFwokRmvb1XR5EDk4
New Luen Hing,4.666666667,9,3.5,137,https://www.google.com/maps/place/?q=place_id:ChIJa_faI5HzwokRcuKjBu5FKv8
New Cottage,4.666666667,12,4.3,239,https://www.google.com/maps/place/?q=place_id:ChIJE0mskuxZwokRR-9pgHWp1Ik
Big Chef,4.666666667,12,4.1,112,https://www.google.com/maps/place/?q=place_id:ChIJd5KhBqFEwokRclv26G0T8d4
Hibachi Express,4.666666667,12,4.4,120,https://www.google.com/maps/place/?q=place_id:ChIJnQEqn3ZZwokRJCW8GLqu2PA
China Wok Staten Island,4.666666667,12,3.9,114,https://www.google.com/maps/place/?q=place_id:ChIJSWYkxlRJwokR1OQhPiQ9lVk
Xi'an Famous Foods 西安名吃 | Union Square,4.666666667,30,4.7,194,https://www.google.com/maps/place/?q=place_id:ChIJA6FXDABZwokRGCh6a0uJJvo
Sun Hing Lung,4.666666667,57,4.6,336,https://www.google.com/maps/place/?q=place_id:ChIJGeaRAyZawokRbvxqEiLDw8g
Dim Sum Palace,4.661290323,124,4.6,943,https://www.google.com/maps/place/?q=place_id:ChIJQ-rGHbtZwokRZzBzywlf7ak
小頸 皇爺雞 Royal Rooster hotpot,4.658536585,41,4.4,113,https://www.google.com/maps/place/?q=place_id:ChIJ-Vvkv_OJwokRSVUlDlu5VFo
Coco Hotpot 皇椰鸡,4.657777778,225,4.6,436,https://www.google.com/maps/place/?q=place_id:ChIJdyZGVD1hwokRsoq0OzmkTNM
Gao's BBQ & Crab,4.657759507,973,4.5,1790,https://www.google.com/maps/place/?q=place_id:ChIJwWzuH4phwokR1-It_OVi__4
Zhu Ji Dumpling House,4.657142857,35,4.5,150,https://www.google.com/maps/place/?q=place_id:ChIJLYUA_xFgwokRxmF_hsgKE24
MARATHON CAFE,4.653846154,78,4.6,217,https://www.google.com/maps/place/?q=place_id:ChIJA_pNZGiJwokRsoFXUf5gz5U
Da Long Yi Hot Pot,4.647773279,247,4.5,489,https://www.google.com/maps/place/?q=place_id:ChIJKePvPk5ZwokRglgKdN2y-08
Moon Kee Restaurant,4.64516129,62,4.4,289,https://www.google.com/maps/place/?q=place_id:ChIJMepninf3wokRWULnnSKXiaw
Yi Ji Shi Mo,4.642857143,140,4.7,560,https://www.google.com/maps/place/?q=place_id:ChIJb7sfoNNZwokR1Zu1zyYbu5I
Fuhing Chinese Restaurant,4.636363636,11,3.9,202,https://www.google.com/maps/place/?q=place_id:ChIJrQlW87ayw4kR9Aeg9xPikag
New Chinatown Restaurant and Bar | Asian Fusion | Chinese and Thai Food,4.636363636,44,4.4,540,https://www.google.com/maps/place/?q=place_id:ChIJVQo6V6RYwokR44gJvaeMUgA
Spicy Moon East Village,4.636363636,55,4.6,950,https://www.google.com/maps/place/?q=place_id:ChIJ7x3Pe11ZwokRLpfe6va9dqs
Chow House,4.636363636,209,4.6,1059,https://www.google.com/maps/place/?q=place_id:ChIJ8z3tH5JZwokRU1hSLFhRFQA
China Gourmet,4.633333333,30,3.6,614,https://www.google.com/maps/place/?q=place_id:ChIJIZIio1dYwokRftM7wAMOmL0
Hey Yuet 喜粤,4.633333333,120,4.6,586,https://www.google.com/maps/place/?q=place_id:ChIJYcwEztJZwokRR-uTBjwHrSs
The Best Sichuan 一品成都39,4.628450106,471,4.7,3249,https://www.google.com/maps/place/?q=place_id:ChIJSzY_qqtZwokRiLyLL2_upv0
灶门签 Zao Men Qian Hot Pot,4.626865672,268,4.5,467,https://www.google.com/maps/place/?q=place_id:ChIJw4sTpCNhwokR-xGO7HTQVbY
King’s Kitchen,4.625698324,716,4.5,1497,https://www.google.com/maps/place/?q=place_id:ChIJG08ekihawokRIejgF_clyrU
Tasty House,4.625,8,4,135,https://www.google.com/maps/place/?q=place_id:ChIJuWfd8vhEwokRrYL_vGO0OHc
North Dumplings Essex,4.625,72,4.6,943,https://www.google.com/maps/place/?q=place_id:ChIJib907ylawokRR9VRduNlws0
Burp Bowl Cafe,4.622377622,143,4.5,479,https://www.google.com/maps/place/?q=place_id:ChIJ1cGq3glZwokR-Tj_jN2GrhM
Wah Fung No.1 Fast Food,4.613513514,370,4.5,3411,https://www.google.com/maps/place/?q=place_id:ChIJCZ6p_4dZwokRitXAVOk-zvs
West Rice Roll King 西关肠粉王,4.609195402,87,4.6,376,https://www.google.com/maps/place/?q=place_id:ChIJv8ppS0dbwokRrn2vYIST7U4
Empire East,4.608695652,23,3.7,355,https://www.google.com/maps/place/?q=place_id:ChIJizVKdlBJwokRHPEgmQx29v8
Hainan,4.608333333,120,4.5,767,https://www.google.com/maps/place/?q=place_id:ChIJ86jijMhhwokRItWSGT6dpW8
Pearl Garden,4.603305785,121,4.5,338,https://www.google.com/maps/place/?q=place_id:ChIJDQXGhL6KwokRXE-X1Y9DYwo
Kum Fung,4.6,5,3.9,178,https://www.google.com/maps/place/?q=place_id:ChIJhwsaJq5PwokRan4RXD9L-lQ
New Fun Sing,4.6,10,4,255,https://www.google.com/maps/place/?q=place_id:ChIJed9FRvpbwokRFgE6leChBTw
Taste of China,4.6,10,4.3,259,https://www.google.com/maps/place/?q=place_id:ChIJuW0_J1FFwokRfucOwTHpVq4
Dao Palate,4.6,10,4.3,247,https://www.google.com/maps/place/?q=place_id:ChIJAftQ7KhbwokRi7mkB0p7TrM
Crown Palace,4.6,10,3.6,115,https://www.google.com/maps/place/?q=place_id:ChIJOcyfk9BNwokR9gS_WN4F0A0
Ho Wok,4.6,10,4,127,https://www.google.com/maps/place/?q=place_id:ChIJX6MK0qNLwokRyu4WbBxZWdc
Best Garden,4.6,10,4.2,102,https://www.google.com/maps/place/?q=place_id:ChIJXwsDLPmJwokR1gifetHBJDw
Oh Dumplings,4.6,20,4.7,234,https://www.google.com/maps/place/?q=place_id:ChIJa51eLo1ZwokR2f0GKDB7Z_w
New Dragon,4.6,25,4,149,https://www.google.com/maps/place/?q=place_id:ChIJ-yo07DBgwokRqknvukV10Vw
Xi'an Famous Foods 西安名吃 | 74th&Amsterdam UWS,4.597560976,82,4.5,468,https://www.google.com/maps/place/?q=place_id:ChIJN02wlIhZwokRjNAAmte4O9I
湘当有料Young and Rich NY,4.596602972,471,4.5,856,https://www.google.com/maps/place/?q=place_id:ChIJ75_Nga1hwokRwb_lNQgLW50
99 Favor Taste,4.594318182,880,4.5,2933,https://www.google.com/maps/place/?q=place_id:ChIJyzOz40tFwokRl2WhNTSgazw
Beijing Dumpling House,4.59375,32,4.6,769,https://www.google.com/maps/place/?q=place_id:ChIJ9Ucf4sRgwokR52N_WmOuClM
Tipsy Shanghai 蘇杭餐厅,4.588607595,316,4.5,957,https://www.google.com/maps/place/?q=place_id:ChIJ7UNgV8tZwokRM1hF8E977xA
New King Wok,4.583333333,12,4.2,111,https://www.google.com/maps/place/?q=place_id:ChIJZTCWUyFhwokRa6g5f0U304E
DunHuang Lanzhou Beef Noodle,4.582746479,568,4.5,1268,https://www.google.com/maps/place/?q=place_id:ChIJaThBeBBgwokRPMezjTqipjs
Liu's Shanghai,4.578947368,133,4.5,560,https://www.google.com/maps/place/?q=place_id:ChIJ9aGQCAtFwokReEt-jv-y8AM
JUQI,4.578767123,1168,4.5,2259,https://www.google.com/maps/place/?q=place_id:ChIJ67IuTYphwokRKrrfD6PvXZ4
Wong Kwong Hop,4.575,40,4.4,107,https://www.google.com/maps/place/?q=place_id:ChIJ-88-YFFewokR0bdo-wVMy5A
Oriental Palace Kitchen,4.571428571,7,4.4,461,https://www.google.com/maps/place/?q=place_id:ChIJobyFZ8ZFwokRWZih62KN73M
New Green Dragon,4.571428571,7,4.2,468,https://www.google.com/maps/place/?q=place_id:ChIJkbtOQBiLwokRQXPKNr8n2oY
Dim Sum II Chinese Restaurant,4.571428571,7,4.2,236,https://www.google.com/maps/place/?q=place_id:ChIJq25CGCSyw4kRzkj6lNmbjJo
Lin’s Asian Cuisine,4.571428571,7,4.3,226,https://www.google.com/maps/place/?q=place_id:ChIJOWedJCH1wokRZ6GIUwx53tU
China Delight,4.571428571,7,4.2,154,https://www.google.com/maps/place/?q=place_id:ChIJtyNm6OhawokR8t7rQa8m_d8
Chuang Chef,4.571428571,7,4.5,207,https://www.google.com/maps/place/?q=place_id:ChIJB0R-DNJfwokRZGXSde7p5B4
East Garden,4.571428571,14,3.8,154,https://www.google.com/maps/place/?q=place_id:ChIJE1CADS5fwokRq_pUsxnvkv4
King Dumplings,4.571428571,98,4.5,1090,https://www.google.com/maps/place/?q=place_id:ChIJwUWtpVNbwokRFXYqGsP5tyQ
JACX&CO Food Hall,4.567164179,67,4.5,1007,https://www.google.com/maps/place/?q=place_id:ChIJpRaITSRZwokRji4cRJdtswE
Wok 88,4.5625,32,4.3,1057,https://www.google.com/maps/place/?q=place_id:ChIJwTaaU7tYwokR7o8KpdB3yOI
Dim Sum Palace,4.560283688,141,4.6,820,https://www.google.com/maps/place/?q=place_id:ChIJO4Rc0HZbwokRzNWaYptrYVw
HALAL Xpress Asian Fusion,4.56,25,4.6,607,https://www.google.com/maps/place/?q=place_id:ChIJ5X3BOX1FwokRw9sX4eBGIKw
Chongqing Lao Zao 重慶老灶,4.558238636,704,4.6,1709,https://www.google.com/maps/place/?q=place_id:ChIJu4mR1fFhwokR94Uup8tbWZE
Simply Noodles,4.556962025,79,4.5,516,https://www.google.com/maps/place/?q=place_id:ChIJacAht4FZwokRpwfTdI-IFiw
Fairview Chinese Restaurant,4.555555556,9,4.3,194,https://www.google.com/maps/place/?q=place_id:ChIJ-z_sjMP3wokRzSlfEDXgEuU
New Yummy Chinese Restaurant‎,4.555555556,9,4.3,139,https://www.google.com/maps/place/?q=place_id:ChIJq19LLT1YwokR7C2yz4Ye7PQ
Hunan Delight Matsuya,4.555555556,9,4.1,164,https://www.google.com/maps/place/?q=place_id:ChIJUQbig7hYwokRBTZ09V_SqQY
Hardee,4.555555556,9,4.4,255,https://www.google.com/maps/place/?q=place_id:ChIJn4qfoPpdwokRWkJlWq32tZE
Fansway Teriyaki Kitchen,4.555555556,9,4.4,310,https://www.google.com/maps/place/?q=place_id:ChIJyTRk7_pdwokRBgb78Ej-VHU
Annie's Kitchen | Kosher Chinese Food 11367 | Sushi 11367,4.555555556,9,4.4,374,https://www.google.com/maps/place/?q=place_id:ChIJx800Z4xgwokRS0Xlox2RJDE
Sweet Bamboo Chinese Food | Sutphin,4.555555556,9,4.6,373,https://www.google.com/maps/place/?q=place_id:ChIJE1P6rSphwokR-5WoT568qEQ
Yoan's Garden,4.555555556,9,4.2,535,https://www.google.com/maps/place/?q=place_id:ChIJf_kfeCy0w4kR4GXQX3tysMI
Great Wall Chinese Restaurant,4.555555556,9,4,284,https://www.google.com/maps/place/?q=place_id:ChIJTZFlR5lfwokRfCYdh2Era6A
Song Dumpling Cafe,4.555555556,18,4.7,284,https://www.google.com/maps/place/?q=place_id:ChIJU5e97phfwokReFf64PoVbc4
For U,4.553191489,47,4.8,260,https://www.google.com/maps/place/?q=place_id:ChIJEwtiv1FZwokR4nfSX_iCcUw
Mama Lee,4.548076923,104,4.6,302,https://www.google.com/maps/place/?q=place_id:ChIJ1XMARuZhwokRBRvUfvQg-5U
Chef Guo - 小国宴,4.547169811,53,4.7,136,https://www.google.com/maps/place/?q=place_id:ChIJE3SO9C5ZwokRrA04gkUVIyQ
Taiwan Bear House,4.54676259,139,4.6,438,https://www.google.com/maps/place/?q=place_id:ChIJlwQhLilbwokR24kEIHvpD_g
Luanne's Wild Ginger Fort Greene,4.545454545,11,4.6,249,https://www.google.com/maps/place/?q=place_id:ChIJqw817blbwokRcIoXi_PEYqQ
Wai Kang,4.545454545,11,4,178,https://www.google.com/maps/place/?q=place_id:ChIJZ0L8LXbzwokR4KEm8nWR2oI
Hot Space,4.544303797,237,4.6,518,https://www.google.com/maps/place/?q=place_id:ChIJ0U-UaQ5gwokR-FAONv4joL4
Shu Jiao Fu Zhou,4.544303797,395,4.6,2851,https://www.google.com/maps/place/?q=place_id:ChIJ3au6oIdZwokRRpuRY9nbgik
Authentic Szechuan,4.533333333,15,4.3,128,https://www.google.com/maps/place/?q=place_id:ChIJ3z2VcGVbwokROnRUgABFgeU
CHILI,4.532467532,231,4.6,1311,https://www.google.com/maps/place/?q=place_id:ChIJJS3mqONZwokR9KlP3H_7MNg
Qing Shu Spicy Hot Pot 青蔬麻辣烫,4.53125,64,4.5,165,https://www.google.com/maps/place/?q=place_id:ChIJjd9qpSZhwokR3opdFFk-CCM
Fu Zhou Wei Zhong Wei Jia Xiang Feng Wei,4.530120482,83,4.7,452,https://www.google.com/maps/place/?q=place_id:ChIJq3ALmyhawokR_HZZ8u-kUK0
May Wah Fast Food,4.527559055,127,4.4,547,https://www.google.com/maps/place/?q=place_id:ChIJhSzQ2olZwokRIKu6zVX7_MA
La Dinastia,4.52,25,4.4,816,https://www.google.com/maps/place/?q=place_id:ChIJH8NrrL1ZwokRSbBBoP6T8No
The Corner Chinese Restaurant,4.52,25,4.4,416,https://www.google.com/maps/place/?q=place_id:ChIJiZBX0X9ZwokRgzMHGknAlPs
Spice Symphony,4.512820513,39,4.4,2066,https://www.google.com/maps/place/?q=place_id:ChIJR1cYdAhZwokRvUA0rSAV9rY
Vybes 109 / New York Vybes,4.511627907,43,4.4,275,https://www.google.com/maps/place/?q=place_id:ChIJiXKVn_NbwokRCiYO8lkcOc4
Secret Kitchen 粤精彩,4.510638298,47,4.1,144,https://www.google.com/maps/place/?q=place_id:ChIJLZAGVQphwokRxJnprxJMuOQ
Cheong Fun Cart,4.507936508,63,4.6,297,https://www.google.com/maps/place/?q=place_id:ChIJO5vUIYhZwokRhgBPxu526DI
Peking,4.5,2,4.2,106,https://www.google.com/maps/place/?q=place_id:ChIJJ-3NlG70wokRPl1_AjLe6_M
Great Wall Kitchen,4.5,2,4,168,https://www.google.com/maps/place/?q=place_id:ChIJz2jVihizw4kRRUldFJb7nFo
New Kam Po Garden,4.5,2,4.5,241,https://www.google.com/maps/place/?q=place_id:ChIJq-3wCbGyw4kRcEKsljCAhT8
China 1,4.5,2,4.1,211,https://www.google.com/maps/place/?q=place_id:ChIJETF88bJawokRyTaTCGy3xkA
Yummy Yummy Chinese Kitchen,4.5,2,4.2,238,https://www.google.com/maps/place/?q=place_id:ChIJP34Xf9_0wokR3xMRMZsVsSg
Lin's Garden Chinese Restaurant,4.5,2,4.4,148,https://www.google.com/maps/place/?q=place_id:ChIJMeslJUOyw4kRLcavJW0PX6g
Amy's,4.5,2,3.9,144,https://www.google.com/maps/place/?q=place_id:ChIJf4QeVPbzwokRQdPSe0jh8QY
Shun Cheong,4.5,4,3.8,156,https://www.google.com/maps/place/?q=place_id:ChIJsTzm3Rr2wokRs8m45P8ITa0
King Kitchen,4.5,4,4,113,https://www.google.com/maps/place/?q=place_id:ChIJW-jvcPVbwokRLNTGmG3_E4g
Annie 88 Express,4.5,4,4.2,180,https://www.google.com/maps/place/?q=place_id:ChIJC03U4HZbwokRdFdzHzHxE40
China Moon,4.5,4,4.1,258,https://www.google.com/maps/place/?q=place_id:ChIJ8VykH4ZcwokRM2GB3cecM0E
Dairy Palace,4.5,4,4.5,386,https://www.google.com/maps/place/?q=place_id:ChIJj79NwTFMwokRH3JIFEqLnTY
Mandarin House,4.5,4,4.1,134,https://www.google.com/maps/place/?q=place_id:ChIJjbDIFMlNwokR9OrJwubr5mg
China Delight,4.5,4,4.1,104,https://www.google.com/maps/place/?q=place_id:ChIJa7Aw3bhfwokRtIJvGEK4wbk
Eastern Chinese Restaurant,4.5,6,3.6,173,https://www.google.com/maps/place/?q=place_id:ChIJPyI1yzVfwokRog1wiQC1NXw
Dynasty Chinese Restaurant,4.5,6,4.1,273,https://www.google.com/maps/place/?q=place_id:ChIJTcDbwqxEwokRbTIhgeMff-4
Dragon House,4.5,6,3.9,173,https://www.google.com/maps/place/?q=place_id:ChIJWxSJCRlPwokRT2oLWNElNQM
China Garden,4.5,6,4.2,288,https://www.google.com/maps/place/?q=place_id:ChIJP0czxPi0w4kRDv85hc--S58
Island Garden,4.5,6,4.4,236,https://www.google.com/maps/place/?q=place_id:ChIJx-Mx0hJOwokRolyGe7UVMEU
New Tung Hing,4.5,6,4.2,152,https://www.google.com/maps/place/?q=place_id:ChIJxzWcxbNawokRpRvvymA3DFc
Keilly Chinese Restaurant,4.5,6,3.9,158,https://www.google.com/maps/place/?q=place_id:ChIJW10nh7GKwokR7pme7Wh-eCQ
Golden Dragon Kitchen,4.5,8,3.7,179,https://www.google.com/maps/place/?q=place_id:ChIJK0e7H19ZwokRMHTJCBDbEIo
China House,4.5,8,3.8,128,https://www.google.com/maps/place/?q=place_id:ChIJJyi6-PH0wokRBXkxWwRsnOo
Lin's Gourmet,4.5,10,4.1,137,https://www.google.com/maps/place/?q=place_id:ChIJIbvwjLNZwokRMpi4uSuoH8I
Ha Bo Chinese Kitchen,4.5,12,3.8,258,https://www.google.com/maps/place/?q=place_id:ChIJ2attHM5jwokRMvYIXQGBqjA
New Tung Hing,4.5,12,4.5,456,https://www.google.com/maps/place/?q=place_id:ChIJK1sq8_ZRwokRmRgPDrEFhRo
Peking Kitchen,4.5,14,3.8,130,https://www.google.com/maps/place/?q=place_id:ChIJvbk8EyRMwokRhw1oPQ9wpM8
Long Spring Garden,4.5,14,4.4,120,https://www.google.com/maps/place/?q=place_id:ChIJqZ4FIR1fwokRmpT2CcwZSh8
No pork halal kitchen,4.5,28,4.5,1677,https://www.google.com/maps/place/?q=place_id:ChIJ6VUkrq1bwokRgVyaTfBCZVU
